news_date,n_articles,n_pred_climate,climate_share,climate_intensity_mean,climate_intensity_sum,avg_tone_score,log_n_articles,log_n_pred_climate,log_climate_intensity_sum,is_core_climate,is_policy_regulation,is_physical_risk,is_energy_geopolitics,is_cleantech,is_activism_litigation
2015-07-16,1,1,1.0,0.8869751377431305,0.8869751377431305,1.0,0.6931471805599453,0.6931471805599453,0.6349750907527842,1.0,1.0,0.0,0.0,0.0,0.0
2015-07-17,1,1,1.0,0.6187094816636199,0.6187094816636199,1.0,0.6931471805599453,0.6931471805599453,0.48162921551992655,1.0,1.0,0.0,1.0,0.0,0.0
2015-07-18,4,1,0.25,0.4223883053088887,1.6895532212355548,0.25,1.6094379124341003,0.6931471805599453,0.9893750910594654,0.25,0.5,1.0,0.0,0.25,0.0
2015-07-19,2,1,0.5,0.6033484244363312,1.2066968488726624,0.5,1.0986122886681098,0.6931471805599453,0.7914967589241239,1.0,1.0,0.5,0.5,0.0,0.0
2015-07-21,3,1,0.3333333333333333,0.43258589836056033,1.297757695081681,0.3333333333333333,1.3862943611198906,0.6931471805599453,0.8319337322143217,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
2015-07-22,2,1,0.5,0.5573659923233772,1.1147319846467545,0.5,1.0986122886681098,0.6931471805599453,0.7489280832612225,0.5,0.5,1.0,0.0,0.0,0.0
2015-07-24,3,2,0.6666666666666666,0.49138217776817456,1.4741465333045236,0.6666666666666666,1.3862943611198906,1.0986122886681098,0.9058955015229081,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0
2015-07-25,1,0,0.0,0.3312895689958348,0.3312895689958348,0.0,0.6931471805599453,0.0,0.2861480732232324,1.0,1.0,0.0,0.0,0.0,0.0
2015-07-26,1,1,1.0,0.9314352864286022,0.9314352864286022,1.0,0.6931471805599453,0.6931471805599453,0.6582633982546604,1.0,1.0,1.0,0.0,0.0,0.0
2015-07-27,1,0,0.0,0.19807851826213002,0.19807851826213002,0.0,0.6931471805599453,0.0,0.18071903866584108,0.0,0.0,1.0,0.0,0.0,0.0
2015-07-29,1,1,1.0,0.6941185633622747,0.6941185633622747,1.0,0.6931471805599453,0.6931471805599453,0.5271625839591029,1.0,1.0,0.0,1.0,0.0,0.0
2015-07-30,1,1,1.0,0.8743897200462026,0.8743897200462026,1.0,0.6931471805599453,0.6931471805599453,0.6282831237993772,1.0,1.0,1.0,0.0,0.0,0.0
2015-08-05,1,0,0.0,0.2559681772237739,0.2559681772237739,0.0,0.6931471805599453,0.0,0.22790673111975418,0.0,0.0,1.0,0.0,0.0,0.0
2015-08-06,2,1,0.5,0.5123100208337883,1.0246200416675766,0.5,1.0986122886681098,0.6931471805599453,0.7053820492086825,0.5,0.5,0.5,0.0,0.5,0.0
2015-08-07,1,0,0.0,0.28088919030689874,0.28088919030689874,0.0,0.6931471805599453,0.0,0.24755451668037784,0.0,1.0,1.0,0.0,0.0,0.0
2015-08-09,2,0,0.0,0.1479343657652213,0.2958687315304426,0.0,1.0986122886681098,0.0,0.2591813054008181,1.0,0.0,0.0,0.0,0.0,0.0
2015-08-10,1,1,1.0,0.7625196405448671,0.7625196405448671,1.0,0.6931471805599453,0.6931471805599453,0.5667443992137533,1.0,1.0,0.0,0.0,0.0,0.0
2015-08-12,1,0,0.0,0.39995313198906784,0.39995313198906784,0.0,0.6931471805599453,0.0,0.3364387589101748,1.0,1.0,1.0,0.0,0.0,0.0
2015-08-13,2,1,0.5,0.5305123764073968,1.0610247528147936,0.5,1.0986122886681098,0.6931471805599453,0.7232033119355674,1.0,0.5,0.5,0.0,0.0,0.0
2015-08-14,2,0,0.0,0.30221416988498256,0.6044283397699651,0.0,1.0986122886681098,0.0,0.4727675185385889,1.0,1.0,0.0,0.0,1.0,0.0
2015-08-16,1,0,0.0,0.432299542731149,0.432299542731149,0.0,0.6931471805599453,0.0,0.3592812245486911,0.0,0.0,1.0,0.0,0.0,0.0
2015-08-17,1,1,1.0,0.6876922303503746,0.6876922303503746,1.0,0.6931471805599453,0.6931471805599453,0.5233620515585122,1.0,1.0,1.0,1.0,1.0,0.0
2015-08-18,2,2,1.0,0.8859933430579978,1.7719866861159956,1.0,1.0986122886681098,1.0986122886681098,1.0195642783276648,1.0,1.0,0.5,0.0,0.0,0.0
2015-08-19,1,1,1.0,0.8713144594331983,0.8713144594331983,1.0,0.6931471805599453,0.6931471805599453,0.6266411034172981,1.0,1.0,0.0,0.0,1.0,0.0
2015-08-22,1,0,0.0,0.36185612995226796,0.36185612995226796,0.0,0.6931471805599453,0.0,0.30884857068850363,0.0,0.0,1.0,0.0,1.0,0.0
2015-08-24,1,1,1.0,0.6286658092185462,0.6286658092185462,1.0,0.6931471805599453,0.6931471805599453,0.48776115769485645,1.0,1.0,1.0,0.0,0.0,0.0
2015-08-26,4,4,1.0,0.772615858252433,3.090463433009732,1.0,1.6094379124341003,1.6094379124341003,1.408658272440088,0.5,1.0,0.75,0.75,0.0,0.0
2015-08-27,1,1,1.0,0.7177422252348654,0.7177422252348654,1.0,0.6931471805599453,0.6931471805599453,0.5410107687857042,1.0,1.0,1.0,0.0,0.0,0.0
2015-08-28,2,2,1.0,0.6236005613672304,1.2472011227344608,1.0,1.0986122886681098,1.0986122886681098,0.8096854964226087,0.0,0.0,1.0,0.0,0.0,0.0
2015-08-30,2,0,0.0,0.29459747394400393,0.5891949478880079,0.0,1.0986122886681098,0.0,0.4632275659248167,0.5,0.5,1.0,0.0,0.0,0.0
2015-09-01,3,1,0.3333333333333333,0.5488935501642228,1.6466806504926685,0.3333333333333333,1.3862943611198906,0.6931471805599453,0.9733062701384384,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0
2015-09-02,3,1,0.3333333333333333,0.35298889492560553,1.0589666847768167,0.3333333333333333,1.3862943611198906,0.6931471805599453,0.7222042476218004,0.0,0.0,1.0,0.0,0.0,0.0
2015-09-03,2,2,1.0,0.640180189817177,1.280360379634354,1.0,1.0986122886681098,1.0986122886681098,0.824333491719125,0.5,0.5,0.5,0.0,0.0,0.0
2015-09-04,4,3,0.75,0.5636839850461566,2.2547359401846263,0.75,1.6094379124341003,1.3862943611198906,1.1801111480025308,0.5,0.25,0.75,0.5,0.5,0.0
2015-09-05,1,0,0.0,0.4015644688684468,0.4015644688684468,0.0,0.6931471805599453,0.0,0.3375890904708767,1.0,1.0,1.0,0.0,0.0,0.0
2015-09-06,1,1,1.0,0.7556175593607656,0.7556175593607656,1.0,0.6931471805599453,0.6931471805599453,0.5628206806962347,1.0,1.0,1.0,0.0,0.0,0.0
2015-09-07,1,0,0.0,0.25337204621587744,0.25337204621587744,0.0,0.6931471805599453,0.0,0.225837556194871,0.0,0.0,1.0,0.0,0.0,0.0
2015-09-13,1,0,0.0,0.3810356372525205,0.3810356372525205,0.0,0.6931471805599453,0.0,0.3228336794906682,1.0,0.0,0.0,0.0,0.0,0.0
2015-09-14,1,1,1.0,0.6881382741991393,0.6881382741991393,1.0,0.6931471805599453,0.6931471805599453,0.5236263088135843,1.0,0.0,1.0,0.0,0.0,0.0
2015-09-18,3,1,0.3333333333333333,0.5322103743797791,1.5966311231393375,0.3333333333333333,1.3862943611198906,0.6931471805599453,0.9542148829845368,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
2015-09-19,1,0,0.0,0.2782405159951391,0.2782405159951391,0.0,0.6931471805599453,0.0,0.24548453542777054,0.0,0.0,1.0,0.0,0.0,0.0
